Time,Total
41.015,1396907
41.031,1134763
41.062,1527979
41.078,1134763
41.109,1222144
41.125,916310
41.14,1243990
41.172,1222144
41.187,1112918
41.219,1287681
41.234,938155
41.25,1680896
41.265,1069227
41.297,1156608
41.328,1309525
41.359,1222144
41.375,785238
41.39,1331371
41.406,1506134
41.437,1331371
41.453,1265835
41.484,828929
41.5,1112918
41.515,1178454
41.547,981845
41.562,981845
41.594,1025536
41.64,1243990
41.656,1178454
41.687,1527979
41.734,1571669
41.75,1222144
41.765,1156608
41.797,1440598
41.812,1134763
41.844,1134763
41.859,1353217
41.89,1309525
41.906,938155
41.953,1069227
41.969,960001
42.0,1309526
42.015,1156608
42.047,1091072
42.078,1375062
42.094,1265835
42.125,1353217
42.14,1069227
42.172,1069227
42.203,938155
42.219,828929
42.25,1003691
42.281,894465
42.297,1025537
42.328,1178454
42.359,1069227
42.375,1134763
42.406,1112918
42.422,1265835
42.453,1549825
42.484,1178454
42.5,960000
42.531,1091072
42.547,1112918
42.578,1222144
42.609,1112917
42.656,850774
42.672,1309526
42.687,1091072
42.719,894465
42.75,1112918
42.781,960001
42.797,1593515
42.828,1440598
42.859,1440598
42.875,1659051
42.906,1243990
42.922,1003691
42.953,1200299
42.984,1375062
43.0,1200299
43.031,1331371
43.047,1069227
43.078,1178453
43.109,1112918
43.125,1200299
43.156,1112918
43.172,1134763
43.203,1069227
43.234,1134763
43.25,1287681
43.281,1287680
43.297,1265835
43.328,1025537
43.359,1375062
43.375,1418752
43.406,1134763
43.422,1003691
43.453,1243990
43.484,1222144
43.5,916310
43.531,1178454
43.547,960000
43.578,894465
43.609,916309
43.656,1243990
43.875,850774
44.015,1112918
44.047,1047382
44.078,1200299
44.109,1069227
44.125,1112917
44.156,960001
44.172,1200299
44.203,785238
44.234,1353216
44.25,981846
44.281,807083
44.297,1003691
44.328,1265835
44.359,916309
44.375,1462443
44.406,1134763
44.422,850773
44.453,1200299
44.484,1331371
44.5,1178454
44.531,1222144
44.547,1309525
44.578,1265835
44.609,1112918
44.656,960001
44.687,1134763
44.719,697857
44.734,1069227
44.765,1047382
44.781,916310
44.812,1047382
44.844,894465
44.859,1003691
44.89,850774
44.906,894464
44.937,1156608
44.969,1069227
44.984,1243990
45.015,1134763
45.031,1091073
45.062,960001
45.094,981846
45.109,960000
45.14,1353216
45.156,1112918
45.187,1222144
45.219,1375061
45.234,1178453
45.265,894464
45.281,1047382
45.312,1025537
45.344,938155
45.359,916310
45.39,1156609
45.406,1047381
45.437,1047382
45.469,938155
45.484,1025536
45.515,1112918
45.531,697856
45.562,1134763
45.594,960001
45.625,828928
45.656,763392
45.672,1047382
45.703,1309526
45.719,1593515
45.734,1309526
45.765,1112918
45.797,1025536
45.812,1265835
45.844,1178453
45.859,938155
45.89,1287681
45.906,872619
45.937,785238
45.969,938155
45.984,1025537
46.015,960000
46.031,1047382
46.062,1047382
46.094,894465
46.109,763393
46.14,1396907
46.156,1091072
46.187,1200299
46.219,1047382
46.234,1243990
46.265,1484289
46.281,1331371
46.312,1003691
46.344,1003691
46.359,1069227
46.39,807083
46.406,1047382
46.437,1222145
46.469,1156609
46.484,1069227
46.515,1047381
46.531,960001
46.562,981846
46.594,872619
46.625,1178453
46.656,1156608
46.672,916310
46.703,828929
46.719,1069227
46.75,916310
46.781,1222144
46.797,960000
46.828,916310
46.859,1025537
46.875,763392
46.906,1091073
46.922,719702
46.953,785238
46.984,1222144
47.0,1178454
47.031,1134763
47.047,1047382
47.078,1287680
47.109,981846
47.125,1069227
47.156,981846
47.172,1156609
47.203,1178454
47.234,916310
47.25,981846
47.281,1069227
47.297,1069227
47.328,1112918
47.359,1134763
47.375,1003691
47.406,1003691
47.422,1156609
47.453,938155
47.484,872619
47.5,1222145
47.531,938155
47.547,1178454
47.578,938155
47.609,1091073
47.656,828929
